titolo,titolo_en,indovinello,indovinello_en,risposta_corretta,risposta_corretta_en,risposte_alternative,risposte_alternative_en,suggerimento,suggerimento_en,difficolta,luogo_id,immagine_url,approfondimento,approfondimento_en,associazione,link_associazione,id,created_date,updated_date,created_by_id,created_by,is_sample
"Il quarto colore di Booq","","Conosci booq? spero di sì così saprai dove andare, se non la conosci è il caso di cercare. Accanto alla sua porta c'è un cartello molto colorato. Qual è il quarto colore della sequenza di quadrati alla base, partendo da sinistra?","","verde","","[""green""]","[]","Rosso, Arancio, Giallo... qual è il quarto?","","media","6932a2a1b7d9f92a1bc07c6a","","booq (scritto rigorosamente in minuscolo) è una ""bibliofficina"" di quartiere nata nel 2017 dal recupero di una ex ludoteca comunale abbandonata in via Santa Teresa, proprio accanto a Piazza Kalsa. Il nome gioca con il termine inglese book e con l'idea di un'officina: qui i libri non sono solo da leggere, ma ""attrezzi"" per costruire comunità. È uno spazio dove la cultura si mescola alla pratica: ospita una ciclofficina popolare per riparare biciclette, una stoviglioteca (per prendere in prestito piatti e posate riutilizzabili per le feste, riducendo la plastica) e una ludoteca.  Gestita da un'associazione di volontari, booq è diventata un punto di riferimento per il quartiere Kalsa, offrendo supporto scolastico ai bambini e spazi di aggregazione gratuiti. La sua filosofia si basa sulla ""condivisione del sapere e degli oggetti"": un modello di economia circolare dove nulla si spreca e tutto si trasforma in risorsa collettiva. Il cartello colorato all'ingresso, che i partecipanti devono osservare, simboleggia proprio questa vivacità e la pluralità di progetti che convivono sotto lo stesso tetto.","","Booq Bibliofficina","","693d3cb41f3b08543deaec15","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Le targhe dei guardiani","","Al Museo del Presente dedicato a Falcone e Borsellino, sul cancello che guarda verso Piazza Magione, due targhe vigilano sui pilastri. Quali sono i due enti che rappresentano?","","Città Metropolitana di Palermo e Fondazione Falcone","","[""Fondazione Falcone e Città Metropolitana di Palermo"",""Città Metropolitana e Fondazione Falcone"",""Fondazione Falcone Città Metropolitana di Palermo"",""Città Metropolitana Fondazione Falcone""]","[]","Cerca il museo in Piazza Magione. Il cancello posteriore ha due pilastri con targhe, una ha un'aquila e stemmi, l'altra un albero e su ogni targa c'è scritto il nome dell'ente.","","facile","6932a2a1b7d9f92a1bc07c6a","","Inaugurato nel 2024 all'interno del restaurato Palazzo Jung, questo spazio rappresenta una svolta nel concetto di ""memoria"". Non è un museo statico di reperti, ma un hub narrativo che utilizza realtà virtuale, mostre fotografiche (come quelle celebri di Letizia Battaglia) e installazioni multimediali per rendere il messaggio di Giovanni Falcone e Paolo Borsellino ""presente"" e vivo. La scelta della sede è fortemente simbolica: Palazzo Jung si affaccia su Piazza Magione, il cuore della Kalsa, proprio il quartiere dove i due magistrati nacquero e trascorsero l'infanzia giocando tra questi vicoli. Il museo è gestito dalla Fondazione Falcone e mira a trasformare un luogo storico in un presidio di legalità, arte contemporanea e rigenerazione urbana per i giovani di Palermo.","","Fondazione Falcone","https://www.fondazionefalcone.org","693d3cb41f3b08543deaec06","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"L'infinito sul muro","","Nel quartiere ci sono grandi murales. Uno magari ricorda una poesia che tutti studiano. Guarda questi personaggi e scegli quello che guardandolo negli occhi mostra un simbolo legato a questa poesia. Qual è questo simbolo?","","infinito","","[""L'infinito"",""simbolo infinito"",""sx infinito""]","[]","Guarda bene il volto del personaggio nel murale geometrico e colorato vicino lo spasimo.","","difficile","6932a2a1b7d9f92a1bc07c6a","","Palermo sta vivendo una vera e propria rivoluzione visiva: la street art non è più solo un abbellimento, ma un manifesto di resistenza e riscatto sociale. Se quartieri come lo Sperone o Ballarò usano i murales come grido di speranza e integrazione (si pensi a San Benedetto il Moro o a Biagio Conte), la Kalsa ospita opere che intrecciano la storia millenaria con le sfide del presente.  Camminando per queste strade, si incontrano ""Sante Urbane"" come Bakhita (di Rosk e Loste), i cui occhi brillanti parlano di accoglienza, o il Federico II di Camilla Falsini, che con il suo cavallo a dondolo ricorda lo ""Stupor Mundi"" e la sua capacità di unire popoli diversi, oltre a ispirarci per questa tappa.","","","","693d3cb41f3b08543deaec1d","2025-12-13T10:15:16.590000","2025-12-13T15:34:02.526000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Fontane copiose","","Nella Fontana del Garraffo, la scultura in cima tiene tra le braccia un oggetto mitico. Di cosa si tratta?","","cornucopia","","[""cornucopia""]","[]","Quasi tutte le divinità dell'abbondanza vengono rappresentate con questo oggetto","","difficile","6932a2a1b7d9f92a1bc07c6a","","La Fontana del Garraffo è un capolavoro del barocco siciliano, scolpita nel 1698 da Gioacchino Vitagliano su progetto dell'architetto Paolo Amato. Il suo nome deriva dall'arabo gharraf, che significa ""abbondante d'acqua"", a testimonianza della ricchezza idrica di questa zona della città. Originariamente non si trovava qui, ma nel cuore del mercato della Vucciria, proprio di fronte alla statua del Genio del Garraffo; fu spostata a Piazza Marina solo nel 1862.  L'opera è un trionfo di simbolismo: in cima svetta la Dea dell'Abbondanza, che sormonta un'aquila (simbolo di Palermo) nell'atto di sconfiggere un'idra, rappresentazione del male o delle difficoltà superate dalla città. L'acqua scorre attraverso un complesso sistema di conchiglie sostenute da delfini e tursiopi, creando un gioco sonoro e visivo che un tempo animava le grida dei mercanti e che oggi decora uno degli angoli più eleganti di Piazza Marina. È un monumento che incarna perfettamente la capacità di Palermo di spostare e preservare i propri tesori attraverso i secoli.","","","","693d3cb41f3b08543deaec23","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Il teatro di quartiere","","Sai che in via Vetriera c'è un teatro? Una realtà che da oltre vent'anni illumina il quartiere con le sue attività. Sopra la porta della sua sede c'è un simbolo inscritto in una forma geometrica. Qual è questa forma?","","cerchio","","[""tondo"",""circonferenza"",""circolare""]","[]","Cerca il Teatro Atlante al numero 23. Guarda sopra l'insegna: quale forma contiene il logo?","","facile","6932a2a1b7d9f92a1bc07c6a","","Fondato nel 2006 da Emilio Ajovalasit e Preziosa Salatino, il Teatro Atlante è molto più di una semplice sala spettacoli: è un centro di sperimentazione che usa il teatro come strumento di connessione sociale e trasformazione. Situato nel cuore della Kalsa, si definisce un ""castello magico"" dove l'arte incontra l'impegno civile. La loro programmazione spazia dal teatro per bambini al teatro civile e alla poesia performativa, con una particolare attenzione ai laboratori aperti a tutte le età, concepiti non per formare attori professionisti, ma per offrire ai cittadini uno spazio di ascolto, crescita personale e partecipazione collettiva. Il logo circolare riflette perfettamente questa visione di inclusività e ciclicità dell'esperienza artistica.","","Teatro Atlante","https://www.teatroatlante.com/","693d3cb41f3b08543deaec07","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"I quadratini di Scarpa","","A Palazzo Steri, l'architetto Carlo Scarpa disegnò il grande cancello d'ingresso, quello del portale che guarda verso l'albero munumentale di piazza Marina, con un motivo geometrico di metallo e legno. Quanti piccoli quadrati contornati da legno compongono questa cancellata?","","160","","[""centosessanta"",""160 quadrati""]","[]","Palazzo Steri è il Rettorato dell'Università. Guarda il portale d'ingresso e conta con attenzione solo i quadrati vuoti contornati da legno","","media","6932a2a1b7d9f92a1bc07c6a","","Palazzo Steri (da Hosterium, palazzo fortificato) fu costruito nel 1307 dalla potentissima famiglia Chiaramonte, che governava un ""Regno nel Regno"" così vasto da rivaleggiare con i sovrani. La loro ascesa finì tragicamente proprio qui: nel 1392, l'ultimo discendente Andrea fu decapitato davanti al portone e i beni confiscati dalla corona. Secoli dopo, il palazzo divenne la sede del Tribunale della Santa Inquisizione (1600-1782). Le sue carceri conservano il ""grido silenzioso"" dei prigionieri: graffiti, preghiere e disegni realizzati con il carboncino e i propri fluidi corporei, scoperti quasi per caso nel 1906 dall'etnologo Giuseppe Pitrè. Oggi il palazzo, sede del Rettorato universitario, ospita anche il celebre quadro ""La Vucciria"" di Renato Guttuso. Il dettaglio del cancello, con i suoi 160 quadratini, è una firma del genio veneziano Carlo Scarpa, che negli anni '70 curò il restauro con un intervento magistrale che fonde cemento, legno e acciaio con la pietra medievale, rendendo lo Steri un modello mondiale di restauro architettonico contemporaneo.","","Università degli Studi di Palermo","https://www.unipa.it","693d3cb41f3b08543deaec09","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Statue che guardano il mare","","Non lontano dal mare c'è una statua dedicata ad uno degli imprenditori più celebri della Sicilia. Alle sue spalle su una piccola colonna un simbolo lo unisce al mare. Chi è il personaggio e che simbolo è rappresentato? Inserisci: nome cognome simbolo senza punteggiatura","","Vincezo Florio Ancora","","[]","[]","Aggira la statua di uno dei membri della famiglia Florio e osserva i bassorilievi sulla colonna.","","media","6932a2a1b7d9f92a1bc07c6a","","La scultura che guarda il mare in direzione del porto è dedicata a Vincenzo Florio, il membro più celebre di una dinastia che partendo dal nulla creò un impero commerciale fatto di navi, tonnare (come quella di Favignana), vino Marsala e persino la celebre corsa automobilistica ""Targa Florio"".  Vincenzo non fu solo un imprenditore, ma un uomo che visse la Palermo dei ""Leoni di Sicilia"", rendendola una città cosmopolita capace di attirare teste coronate da tutta Europa. Alle spalle della scultura si trova una colonna con alcuni simboli incisi: l'ancora, che i partecipanti devono individuare, rappresenta l'origine della fortuna della famiglia e il loro legame indissolubile con il mare e la flotta mercantile. Guardare questa scultura oggi significa rendere omaggio a quell'epoca d'oro in cui Palermo, grazie alla visione di un uomo, divenne il cuore pulsante dei traffici e dell'eleganza nel Mediterraneo.","","","","693d3cb41f3b08543deaec20","2025-12-13T10:15:16.590000","2025-12-13T16:19:22.565000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"La galleria in parentesi","","All'ingresso del palazzo in cui la morte trionfa, una targa indica il nome storico dell'edificio. Sotto il nome, tra parentesi, cosa c'è scritto che ospita oggi?","","oggi galleria regionale","","[""galleria regionale"",""Oggi Galleria Regionale (oggi galleria regionale)""]","[]","La targa è all'ingresso del palazzo. Leggi il testo tra parentesi.","","media","6932a2a1b7d9f92a1bc07c6a","","Costruito alla fine del XV secolo come dimora di Francesco Abatellis, maestro portulano del Regno, il palazzo è il capolavoro dell’architetto Matteo Carnilivari. La sua architettura fonde la severità del castello medievale con l’eleganza del gusto catalano. Dopo essere stato un monastero per secoli e aver subito gravi danni nei bombardamenti del 1943, il palazzo è rinato nel 1954 come Galleria Regionale della Sicilia. Il restauro fu affidato a Carlo Scarpa, che creò un allestimento rivoluzionario: usò supporti metallici, pannelli colorati e una gestione magistrale della luce per esaltare i capolavori custoditi. Tra questi spiccano l’enigmatico ""Trionfo della Morte"" (un affresco monumentale di autore ignoto) e l’""Annunciata"" di Antonello da Messina, considerata una delle icone più potenti della storia dell'arte mondiale per lo sguardo magnetico e il gesto sospeso della mano della Vergine.","","Galleria Regionale della Sicilia","http://www.palazzoabatellis.it","693d3cb41f3b08543deaec18","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Il Busto Mancante","","Nel Giardino Garibaldi, dedicato all'unificatore d'Italia, manca un busto tra quelli dei patrioti. Di chi si tratta?","","Rosolino Pilo","","[""Pilo""]","[]","Cerca tra i viali del giardino e leggi i nomi sui basamenti dei busti.","","facile","6932a2a1b7d9f92a1bc07c6a","","Rosolino Pilo è stato uno dei più grandi patrioti siciliani, un vero ""rivoluzionario di professione"". Nato a Palermo da una famiglia nobile (i conti di Capaci), dedicò tutta la sua vita alla causa dell'Unità d'Italia, partecipando ai moti del 1848 e organizzando la resistenza clandestina contro i Borboni. La sua storia è indissolubilmente legata alla Spedizione dei Mille: fu proprio lui, insieme a Giovanni Corrao, a sbarcare segretamente in Sicilia poco prima di Garibaldi per preparare il terreno e accendere la rivolta nelle campagne. Morì eroicamente in battaglia a San Martino delle Scale il 21 maggio 1860, colpito da una palla di cannone pochi giorni prima che Garibaldi entrasse trionfalmente a Palermo. Nel Giardino Garibaldi, la sua assenza (il ""busto mancante"") è un paradosso storico: mentre i suoi compagni d'armi sono celebrati nel marmo, Pilo resta una figura che sembra ancora correre tra i vicoli della sua città, incarnando lo spirito indomito della Kalsa.","","","","693d3cb41f3b08543deaec12","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Il deposito del teatro","","Cosa avvenne nell'anno 1906 al Real Teatro di Santa Cecilia? Solo guardando le sue pareti lo puoi scoprire.
Quando lo scopri riporta con esattezza la frase che hai scoperto.
","","utilizzazione a deposito","","[""deposito"",""uso a deposito""]","[]","Cerca la tabella con le date a sinistra della facciata del teatro.","","media","6932a2a1b7d9f92a1bc07c6a","","Inaugurato nel 1693 per volere dell'Unione dei Musici, il Real Teatro Santa Cecilia è rimasto per quasi due secoli il palcoscenico principale di Palermo, prima della costruzione del Teatro Massimo e del Politeama. La sua storia è fatta di grandi fasti, ma anche di lunghi periodi di oblio: con l'apertura dei nuovi grandi teatri cittadini alla fine dell'Ottocento, il Santa Cecilia cadde in declino, venendo trasformato addirittura in un deposito di ferramenta e poi in una rimessa per carrozze.  Sulla facciata si possono ancora leggere le date che segnano la sua evoluzione architettonica. Dopo un lunghissimo restauro che ha salvato la sua struttura barocca e l'acustica perfetta, oggi il teatro è la casa della Fondazione The Brass Group, uno dei centri d'eccellenza per la musica Jazz in Europa. Passare davanti a questo edificio significa osservare la resilienza della cultura palermitana, capace di trasformare un vecchio magazzino in un tempio internazionale della musica.","","Real Teatro Santa Cecilia","","693d3cb41f3b08543deaec1b","2025-12-13T10:15:16.590000","2025-12-13T16:02:21.379000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
